,name,content,date,like,place,tags,link,follower,follow,con_count
159,하이웨스트익선,𖤐 날씨가 이래서 조금 축축 처지는 듯.하이웨스트 익선 갔을 때처럼 텐션 올려야지 💜,2020-11-19,466,,[],https://www.instagram.com/all.about.claire/,111000,785,517
160,하이웨스트익선,"𖤐 친구들과 가본 #익선동핫플 #하이웨스트익선 평일 늦은 점심인데도 불구하고 사람 많아서너무 놀랐던 곳이예요.오픈 시간 맞춰가야 그나마 사람 좀 없을듯! 빵이 다들 너무 이쁘게 생겨서 사진찍기도 좋고,맨앞에 있는 강아지 모양은 친구랑 나랑 호두 닮아서 못먹겠다고 ㅋㅋ바질 프레첼이 제 입 맛엔 가장 맞았던 것 같아요:)",2020-11-12,416,,"['#익선동핫플', '#하이웨스트익선']",https://www.instagram.com/all.about.claire/,111000,785,517
161,하이웨스트익선,"🍰하이웨스트🍰에서 케이크 먹느라 바빱._.⠀❤️꼭 사진 끝까지 다 보세요❤️⠀울님들의 최애 디저트는 무엇인가요?바빱은 케이크를 제일 좋아한답니다 ( ˃̶͈ᴗ˂̶͈ )익선동에 갔을 때 #햇살맛집 #하이웨스트 방문했어요❤️⠀일단 들어가자마자 디저트 종류가 너무 많아서 놀라고하나같이 비쥬얼이 최고라서 또 놀랐어요🤭배불러서 하나만 고르느라 저 울 뻔 했자나요,, (੭ ˃̣̣̥᷄⌓˂̣̣̥᷅ )੭⁾⁾⠀근데 진짜 햇살이 딱 이쁘게 들어서 사진도 잘 나오고✨디저트 종류도 다양해서 취향따라 고를 수 있고아메리카노도 진짜 맛있었어요!! 딱 제 취향❤️⠀케이크가 가격대가 쪼꼼 나가긴 하지만 (ᵕ̣̣̣̣̣̣﹏ᵕ̣̣̣̣̣̣)익선동 자체가 원래 가격대가 낮은 편이 아니기도 하고또 맛도 나쁘지 않아서 저는 만족스러웠어요😉❤️⠀엄마한테 사진 보여드렸더니 너무 이쁘다고 하셔서다음에는 엄마 델꾸 한 번 더 가려구요!👏🏻✨완전 핫플인데 자리가 많아서 웨이팅은 없을 듯 해요 ( •̀.̫•́)✧⠀⠀⠀#하이웨스트익선 에서 케이크 한 조각 할까요~?⠀⠀⠀❤️블루베리치즈케이크 8,000₩❤️아메리카노 6,000₩⠀⠀⠀#익선동에서바빱⠀#먹스타그램 #먹스타 #맛스타그램 #먹팔 #먹스타맞팔#익선동맛집 #익선동카페 #익선동핫플 #익선동데이트#종로데이트 #종로카페 #종로맛집 #디저트 #데이트⠀⠀@cafe_highwaist ⠀⠀",2020-11-19,981,하이웨스트익선,"['#햇살맛집', '#하이웨스트', '#하이웨스트익선', '#익선동에서바빱⠀', '#먹스타그램', '#먹스타', '#맛스타그램', '#먹팔', '#먹스타맞팔', '#익선동맛집', '#익선동카페', '#익선동핫플', '#익선동데이트', '#종로데이트', '#종로카페', '#종로맛집', '#디저트', '#데이트⠀⠀@cafe_highwaist']",https://www.instagram.com/bab._.bbab/,5037,3504,58
162,하이웨스트익선,예쁜 지희랑 진짜 오랜만에 데이트 👭💗....#selfie#익선동#하이웨스트익선#일상#daily,2020-11-19,37,,"['#selfie', '#익선동', '#하이웨스트익선', '#일상', '#daily']",https://www.instagram.com/rkdtndud1/,793,389,"4,097"
163,하이웨스트익선,🍵🥨✨❤️....#디저트#카페#커피#티타임#루이보스티#페퍼민트#프레즐#프레즐맛집#베이커리맛집#베이커리카페#빵스타그램#하이웨스트익선#하이웨스트#익선동카페#익선동카페추천#종로카페#일상#daily,2020-11-19,46,하이웨스트익선,"['#디저트', '#카페', '#커피', '#티타임', '#루이보스티', '#페퍼민트', '#프레즐', '#프레즐맛집', '#베이커리맛집', '#베이커리카페', '#빵스타그램', '#하이웨스트익선', '#하이웨스트', '#익선동카페', '#익선동카페추천', '#종로카페', '#일상', '#daily']",https://www.instagram.com/rkdtndud1/,793,389,"4,097"
164,하이웨스트익선,🧁🍪🥨🍰🍩🥯✨❤️....#하이웨스트익선,2020-11-19,57,하이웨스트익선,['#하이웨스트익선'],https://www.instagram.com/rkdtndud1/,793,389,"4,097"
165,하이웨스트익선,골라골라🍰,2020-11-19,0,하이웨스트익선,[],https://www.instagram.com/insoon___/,5082,219,"4,060"
166,하이웨스트익선,여기 진짜 너무좋음😋#하이웨스트익선 #민제_서울,2020-11-19,111,하이웨스트익선,"['#하이웨스트익선', '#민제_서울']",https://www.instagram.com/minje_l/,478,276,272
167,하이웨스트익선,...#첫줄 #selfie #카페 #amor #follow #likeforlikes #followforfollowback #fff #l4l #새벽 #셀카 #선팔하면맞팔 #셀피 #일상 #선팔 #맞팔 #좋아요 #korea #아이폰11 #dailylook #ootd #daily #인친 #좋반 #데일리룩 #첫줄반사 #맞팔해요 #먹방 #하이웨스트익선 #익선동카페,2020-11-19,101,익선동,"['#첫줄', '#selfie', '#카페', '#amor', '#follow', '#likeforlikes', '#followforfollowback', '#fff', '#l4l', '#새벽', '#셀카', '#선팔하면맞팔', '#셀피', '#일상', '#선팔', '#맞팔', '#좋아요', '#korea', '#아이폰11', '#dailylook', '#ootd', '#daily', '#인친', '#좋반', '#데일리룩', '#첫줄반사', '#맞팔해요', '#먹방', '#하이웨스트익선', '#익선동카페']",https://www.instagram.com/meop_poem/,322,381,44
168,하이웨스트익선,𝑇ℎ𝑖𝑛𝑔𝑠 𝐼 𝐿𝑖𝑘𝑒 -♡,2020-11-19,53,,[],https://www.instagram.com/jjeong_n2i/,499,545,31
169,하이웨스트익선,✨,2020-11-18,72,Cafe Highwaist,[],https://www.instagram.com/jjeong_n2i/,499,545,31
170,하이웨스트익선,#하이웨스트익선 #익선동카페,2020-11-18,11,하이웨스트익선,"['#하이웨스트익선', '#익선동카페']",https://www.instagram.com/arff_mo/,2,0,34
171,하이웨스트익선,오랜만에 익선동☕#하이웨스트익선 #종로카페 #익선동맛집,2020-11-18,15,하이웨스트익선,"['#하이웨스트익선', '#종로카페', '#익선동맛집']",https://www.instagram.com/lowell_daily/,13,7,14
